"Time","Fridge (Kitchen, 180l)","Halogen lamp 1 (0,5kW)","Power supply for wood boiler ()","Site consumption ()","Total site light consumption ()","Vertical freezer (Cellar, 145l)","Washing machine ()","Water heater ()"
"1998-01-23 05:10:00.0","0","0","11","58","0","7","0","34"
"1998-01-23 05:20:00.0","10","0","11","28","0","0","0","0"
"1998-01-23 05:30:00.0","1","0","11","19","0","0","0","0"
"1998-01-23 05:40:00.0","0","0","11","52","0","0","0","33"
"1998-01-23 05:50:00.0","0","0","11","30","0","12","0","0"
"1998-01-23 06:00:00.0","0","0","11","33","0","17","0","0"
"1998-01-23 06:10:00.0","11","0","10","66","0","0","0","37"
"1998-01-23 06:20:00.0","0","0","11","18","0","0","0","0"
"1998-01-23 06:30:00.0","0","0","11","18","0","0","0","0"
"1998-01-23 06:40:00.0","0","0","11","28","10","0","0","0"
"1998-01-23 06:50:00.0","1","0","11","113","37","21","0","38"
"1998-01-23 07:00:00.0","10","0","11","62","25","7","0","0"
"1998-01-23 07:10:00.0","0","0","10","87","24","0","0","38"
"1998-01-23 07:20:00.0","0","0","11","49","20","0","0","0"
"1998-01-23 07:30:00.0","0","0","10","77","14","0","0","37"
"1998-01-23 07:40:00.0","12","0","11","81","30","11","0","0"
"1998-01-23 07:50:00.0","0","0","10","78","30","17","0","0"
"1998-01-23 08:00:00.0","0","0","11","48","17","0","0","0"
"1998-01-23 08:10:00.0","0","0","11","38","15","0","0","0"
"1998-01-23 08:20:00.0","0","0","10","34","15","0","0","0"
"1998-01-23 08:30:00.0","12","0","11","46","14","0","0","0"
"1998-01-23 08:40:00.0","0","0","11","51","15","21","0","0"
"1998-01-23 08:50:00.0","0","0","11","32","4","8","0","0"
"1998-01-23 09:00:00.0","0","0","11","20","0","0","0","0"
"1998-01-23 09:10:00.0","0","0","11","21","0","0","0","0"
"1998-01-23 09:20:00.0","11","0","11","31","0","0","0","0"
"1998-01-23 09:30:00.0","0","0","11","31","0","12","0","0"
"1998-01-23 09:40:00.0","0","0","11","267","2","18","0","0"
"1998-01-23 09:50:00.0","0","0","11","194","1","0","0","0"
"1998-01-23 10:00:00.0","1","0","11","22","0","0","0","0"
"1998-01-23 10:10:00.0","13","0","11","87","15","0","0","0"
"1998-01-23 10:20:00.0","0","0","11","26","3","3","0","0"
"1998-01-23 10:30:00.0","0","0","11","38","0","20","0","0"
"1998-01-23 10:40:00.0","0","0","11","27","0","7","0","0"
"1998-01-23 10:50:00.0","0","0","11","20","0","0","0","0"
"1998-01-23 11:00:00.0","2","0","11","22","0","0","0","0"
"1998-01-23 11:10:00.0","13","0","11","32","0","0","0","0"
"1998-01-23 11:20:00.0","0","0","10","34","0","16","0","0"
"1998-01-23 11:30:00.0","0","0","11","33","0","15","0","0"
"1998-01-23 11:40:00.0","0","0","11","20","0","0","0","0"
"1998-01-23 11:50:00.0","0","0","11","20","0","0","0","0"
"1998-01-23 12:00:00.0","2","0","11","22","0","0","0","0"
"1998-01-23 12:10:00.0","13","0","11","41","3","7","0","0"
"1998-01-23 12:20:00.0","0","0","11","44","8","19","0","0"
"1998-01-23 12:30:00.0","0","0","10","29","8","5","0","0"
"1998-01-23 12:40:00.0","0","0","11","27","7","0","0","0"
"1998-01-23 12:50:00.0","0","0","11","27","8","0","0","0"
"1998-01-23 13:00:00.0","11","0","10","37","8","0","0","0"
"1998-01-23 13:10:00.0","0","0","11","43","8","18","0","0"
"1998-01-23 13:20:00.0","0","0","10","36","8","12","0","0"
"1998-01-23 13:30:00.0","0","0","11","28","7","0","0","0"
"1998-01-23 13:40:00.0","9","0","10","40","6","0","0","0"
"1998-01-23 13:50:00.0","3","0","11","24","0","0","0","0"
"1998-01-23 14:00:00.0","0","0","11","29","0","11","0","0"
"1998-01-23 14:10:00.0","0","0","10","36","0","19","0","0"
"1998-01-23 14:20:00.0","0","0","11","20","0","0","0","0"
"1998-01-23 14:30:00.0","13","0","10","32","0","0","0","0"
"1998-01-23 14:40:00.0","0","0","11","19","0","0","0","0"
"1998-01-23 14:50:00.0","0","0","11","21","0","2","0","0"
"1998-01-23 15:00:00.0","0","0","10","37","0","20","0","0"
"1998-01-23 15:10:00.0","0","0","11","27","0","9","0","0"
"1998-01-23 15:20:00.0","10","0","11","31","1","0","0","0"
"1998-01-23 15:30:00.0","2","0","11","23","3","0","0","0"
"1998-01-23 15:40:00.0","0","0","10","30","10","0","0","0"
"1998-01-23 15:50:00.0","0","0","11","33","0","14","0","0"
"1998-01-23 16:00:00.0","0","0","11","33","0","16","0","0"
"1998-01-23 16:10:00.0","9","0","11","29","0","0","0","0"
"1998-01-23 16:20:00.0","3","0","11","22","0","0","0","0"
"1998-01-23 16:30:00.0","0","0","11","20","0","0","0","0"
"1998-01-23 16:40:00.0","0","0","10","27","2","6","0","0"
"1998-01-23 16:50:00.0","0","0","11","37","1","20","0","0"
"1998-01-23 17:00:00.0","8","0","11","45","13","5","0","0"
"1998-01-23 17:10:00.0","3","0","11","42","20","0","0","0"
"1998-01-23 17:20:00.0","0","0","11","39","20","0","0","0"
"1998-01-23 17:30:00.0","0","0","11","38","20","0","0","0"
"1998-01-23 17:40:00.0","0","0","10","69","34","18","0","0"
"1998-01-23 17:50:00.0","11","53","11","114","21","12","0","0"
"1998-01-23 18:00:00.0","0","61","10","95","18","0","0","0"
"1998-01-23 18:10:00.0","0","61","11","96","17","0","0","0"
"1998-01-23 18:20:00.0","0","62","10","96","18","0","0","0"
"1998-01-23 18:30:00.0","1","61","11","111","23","10","0","0"
"1998-01-23 18:40:00.0","10","57","10","400","29","19","0","0"
"1998-01-23 18:50:00.0","0","56","9","490","23","1","0","0"
"1998-01-23 19:00:00.0","0","59","10","442","27","0","0","0"
"1998-01-23 19:10:00.0","1","62","11","295","31","0","0","0"
"1998-01-23 19:20:00.0","10","62","11","206","32","1","0","0"
"1998-01-23 19:30:00.0","0","61","10","236","27","20","0","0"
"1998-01-23 19:40:00.0","0","63","11","119","24","9","0","0"
"1998-01-23 19:50:00.0","10","61","11","118","25","0","0","0"
"1998-01-23 20:00:00.0","1","60","10","109","24","0","0","0"
"1998-01-23 20:10:00.0","12","61","11","119","24","0","0","0"
"1998-01-23 20:20:00.0","0","61","10","122","25","15","0","0"
"1998-01-23 20:30:00.0","10","60","11","139","32","15","0","0"
"1998-01-23 20:40:00.0","0","61","10","109","24","0","0","0"
"1998-01-23 20:50:00.0","0","61","11","112","28","0","0","0"
"1998-01-23 21:00:00.0","9","61","10","129","32","0","0","0"
"1998-01-23 21:10:00.0","0","61","11","122","29","6","0","0"
"1998-01-23 21:20:00.0","0","21","11","75","16","19","0","0"
"1998-01-23 21:30:00.0","10","0","11","41","8","5","0","0"
"1998-01-23 21:40:00.0","0","0","11","27","9","0","0","0"
"1998-01-23 21:50:00.0","0","0","11","27","8","0","0","0"
"1998-01-23 22:00:00.0","0","0","11","27","8","0","0","0"
"1998-01-23 22:10:00.0","10","0","10","54","8","18","0","0"
"1998-01-23 22:20:00.0","0","0","11","37","8","12","0","0"
"1998-01-23 22:30:00.0","0","0","11","27","9","0","0","0"
"1998-01-23 22:40:00.0","7","0","11","34","8","0","0","0"
"1998-01-23 22:50:00.0","3","0","11","30","8","0","0","0"
"1998-01-23 23:00:00.0","0","0","11","37","8","10","0","0"
"1998-01-23 23:10:00.0","0","0","11","44","9","19","0","0"
"1998-01-23 23:20:00.0","10","0","11","38","8","1","0","0"
"1998-01-23 23:30:00.0","0","0","10","26","8","0","0","0"
"1998-01-23 23:40:00.0","0","0","11","27","8","0","0","0"
"1998-01-23 23:50:00.0","0","0","11","29","8","2","0","0"
"1998-01-24 00:00:00.0","11","0","10","54","8","20","0","0"
"1998-01-24 00:10:00.0","0","0","11","33","8","7","0","0"
"1998-01-24 00:20:00.0","0","0","11","27","9","0","0","0"
"1998-01-24 00:30:00.0","0","0","11","27","8","0","0","0"
"1998-01-24 00:40:00.0","11","0","11","38","8","0","0","0"
"1998-01-24 00:50:00.0","0","0","11","40","8","15","0","0"
"1998-01-24 01:00:00.0","0","0","10","43","11","15","0","0"
"1998-01-24 01:10:00.0","0","0","11","51","23","0","0","0"
"1998-01-24 01:20:00.0","10","0","11","35","1","0","0","0"
"1998-01-24 01:30:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 01:40:00.0","0","0","10","24","0","5","0","0"
"1998-01-24 01:50:00.0","0","0","11","37","0","20","0","0"
"1998-01-24 02:00:00.0","10","0","11","35","0","5","0","0"
"1998-01-24 02:10:00.0","1","0","11","19","0","0","0","0"
"1998-01-24 02:20:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 02:30:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 02:40:00.0","4","0","11","38","0","16","0","0"
"1998-01-24 02:50:00.0","7","0","11","39","0","14","0","0"
"1998-01-24 03:00:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 03:10:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 03:20:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 03:30:00.0","11","0","11","37","0","7","0","0"
"1998-01-24 03:40:00.0","0","0","11","37","0","19","0","0"
"1998-01-24 03:50:00.0","0","0","11","22","0","3","0","0"
"1998-01-24 04:00:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 04:10:00.0","11","0","11","158","0","0","0","0"
"1998-01-24 04:20:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 04:30:00.0","0","0","11","36","0","17","0","0"
"1998-01-24 04:40:00.0","0","0","11","31","0","13","0","0"
"1998-01-24 04:50:00.0","3","0","11","23","0","0","0","0"
"1998-01-24 05:00:00.0","9","0","11","27","0","0","0","0"
"1998-01-24 05:10:00.0","0","0","11","20","0","0","0","0"
