"Time","Fridge freezer (Kitchen, 195l/152l)","Halogen lamp 1 (0,5kW)","Microwave oven (1,1kW)","Power supply for fuel boiler ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Washing machine ()"
"1998-01-30 10:40:00.0","0","0","0","16","27","0","0","0"
"1998-01-30 10:50:00.0","0","0","0","8","21","0","0","0"
"1998-01-30 11:00:00.0","7","0","0","16","35","0","0","0"
"1998-01-30 11:10:00.0","0","0","0","8","21","0","0","0"
"1998-01-30 11:20:00.0","0","0","0","16","28","0","0","0"
"1998-01-30 11:30:00.0","3","0","0","8","24","0","0","0"
"1998-01-30 11:40:00.0","5","0","0","8","24","0","0","0"
"1998-01-30 11:50:00.0","0","0","0","12","25","0","0","0"
"1998-01-30 12:00:00.0","0","0","0","13","25","0","0","0"
"1998-01-30 12:10:00.0","23","0","0","16","52","2","0","0"
"1998-01-30 12:20:00.0","19","0","0","10","58","17","0","0"
"1998-01-30 12:30:00.0","17","0","0","17","63","18","0","0"
"1998-01-30 12:40:00.0","21","0","0","8","57","18","0","0"
"1998-01-30 12:50:00.0","21","0","14","16","82","20","0","0"
"1998-01-30 13:00:00.0","16","0","0","8","51","16","0","0"
"1998-01-30 13:10:00.0","7","0","0","8","43","17","0","0"
"1998-01-30 13:20:00.0","6","0","0","8","43","16","0","0"
"1998-01-30 13:30:00.0","0","0","0","16","44","17","0","0"
"1998-01-30 13:40:00.0","0","0","0","12","41","16","0","0"
"1998-01-30 13:50:00.0","6","0","0","13","48","17","0","0"
"1998-01-30 14:00:00.0","0","0","0","17","45","16","0","0"
"1998-01-30 14:10:00.0","0","0","0","8","36","17","0","0"
"1998-01-30 14:20:00.0","0","0","0","7","36","16","0","0"
"1998-01-30 14:30:00.0","6","0","0","8","42","17","0","0"
"1998-01-30 14:40:00.0","0","0","0","16","45","16","0","0"
"1998-01-30 14:50:00.0","0","0","0","8","37","17","0","0"
"1998-01-30 15:00:00.0","2","0","0","18","50","17","0","0"
"1998-01-30 15:10:00.0","4","0","0","8","40","17","0","0"
"1998-01-30 15:20:00.0","0","0","0","17","46","16","0","0"
"1998-01-30 15:30:00.0","0","0","0","7","36","16","0","0"
"1998-01-30 15:40:00.0","25","0","0","8","59","17","0","0"
"1998-01-30 15:50:00.0","18","0","0","17","62","16","0","0"
"1998-01-30 16:00:00.0","18","0","0","8","53","17","0","0"
"1998-01-30 16:10:00.0","17","0","0","18","62","17","0","0"
"1998-01-30 16:20:00.0","23","0","0","8","58","17","0","0"
"1998-01-30 16:30:00.0","12","0","0","15","54","17","0","0"
"1998-01-30 16:40:00.0","0","0","45","11","90","20","0","0"
"1998-01-30 16:50:00.0","4","0","0","17","52","17","0","0"
"1998-01-30 17:00:00.0","2","0","0","9","48","25","0","0"
"1998-01-30 17:10:00.0","0","0","0","21","62","28","0","0"
"1998-01-30 17:20:00.0","0","0","0","17","61","27","0","0"
"1998-01-30 17:30:00.0","5","0","0","10","57","25","0","0"
"1998-01-30 17:40:00.0","0","0","0","16","83","39","0","0"
"1998-01-30 17:50:00.0","0","0","0","17","83","37","0","0"
