"Time","Fridge freezer (Kitchen, 195l/152l)","Halogen lamp 1 (0,5kW)","Microwave oven (1,1kW)","Power supply for fuel boiler ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Washing machine ()"
"1998-04-20 19:40:00.0","11","0","0","8","291","18","16","0"
"1998-04-20 19:50:00.0","0","0","0","14","253","10","9","0"
"1998-04-20 20:00:00.0","8","0","0","7","74","0","1","0"
"1998-04-20 20:10:00.0","20","0","0","8","41","0","0","0"
"1998-04-20 20:20:00.0","15","34","0","8","93","4","4","0"
"1998-04-20 20:30:00.0","12","0","0","16","79","6","17","0"
"1998-04-20 20:40:00.0","3","0","0","7","61","1","16","0"
"1998-04-20 20:50:00.0","5","0","0","13","80","14","17","0"
"1998-04-20 21:00:00.0","18","0","0","10","79","5","17","0"
"1998-04-20 21:10:00.0","10","0","0","8","64","0","16","0"
"1998-04-20 21:20:00.0","0","0","0","7","55","0","17","0"
"1998-04-20 21:30:00.0","8","0","0","8","61","0","14","0"
"1998-04-20 21:40:00.0","20","0","0","16","98","20","14","0"
"1998-04-20 21:50:00.0","3","0","0","8","59","3","15","0"
"1998-04-20 22:00:00.0","0","0","0","7","60","3","14","0"
"1998-04-20 22:10:00.0","15","0","0","8","88","19","14","0"
"1998-04-20 22:20:00.0","15","0","0","16","72","0","14","0"
"1998-04-20 22:30:00.0","0","0","0","7","52","0","14","0"
"1998-04-20 22:40:00.0","6","0","0","8","58","0","14","0"
"1998-04-20 22:50:00.0","11","0","0","7","60","1","13","0"
"1998-04-20 23:00:00.0","12","0","0","16","72","0","14","0"
"1998-04-20 23:10:00.0","5","0","0","8","59","0","16","0"
"1998-04-20 23:20:00.0","1","0","0","7","56","0","16","0"
"1998-04-20 23:30:00.0","13","0","0","8","66","0","16","0"
"1998-04-20 23:40:00.0","12","0","0","16","74","0","17","0"
"1998-04-20 23:50:00.0","4","0","0","8","52","3","11","0"
"1998-04-21 00:00:00.0","0","0","0","8","22","0","0","0"
"1998-04-21 00:10:00.0","16","0","0","8","36","0","0","0"
"1998-04-21 00:20:00.0","14","0","0","13","40","0","0","0"
"1998-04-21 00:30:00.0","0","0","0","11","24","0","0","0"
"1998-04-21 00:40:00.0","3","0","0","8","26","0","0","0"
"1998-04-21 00:50:00.0","21","0","0","8","40","0","0","0"
"1998-04-21 01:00:00.0","5","0","0","8","26","0","0","0"
"1998-04-21 01:10:00.0","0","0","0","16","30","0","0","0"
"1998-04-21 01:20:00.0","7","0","0","8","29","0","0","0"
"1998-04-21 01:30:00.0","21","0","0","8","40","0","0","0"
"1998-04-21 01:40:00.0","0","0","0","8","22","0","0","0"
"1998-04-21 01:50:00.0","0","0","0","17","31","0","0","0"
"1998-04-21 02:00:00.0","17","0","0","7","37","0","0","0"
"1998-04-21 02:10:00.0","11","0","0","8","31","0","0","0"
"1998-04-21 02:20:00.0","0","0","0","7","21","0","0","0"
"1998-04-21 02:30:00.0","0","0","0","17","32","0","0","0"
"1998-04-21 02:40:00.0","20","0","0","8","39","0","0","0"
"1998-04-21 02:50:00.0","8","0","0","7","28","0","0","0"
"1998-04-21 03:00:00.0","0","0","0","8","21","0","0","0"
"1998-04-21 03:10:00.0","9","0","0","13","35","0","0","0"
"1998-04-21 03:20:00.0","15","0","0","11","39","0","0","0"
"1998-04-21 03:30:00.0","4","0","0","8","25","0","0","0"
"1998-04-21 03:40:00.0","0","0","0","8","22","0","0","0"
"1998-04-21 03:50:00.0","12","0","0","9","35","0","0","0"
"1998-04-21 04:00:00.0","15","0","0","15","42","0","0","0"
"1998-04-21 04:10:00.0","1","0","0","8","21","0","0","0"
"1998-04-21 04:20:00.0","2","0","0","8","25","0","0","0"
"1998-04-21 04:30:00.0","13","0","0","7","33","0","0","0"
"1998-04-21 04:40:00.0","12","0","0","17","41","0","0","0"
"1998-04-21 04:50:00.0","0","0","0","8","21","0","0","0"
"1998-04-21 05:00:00.0","6","0","0","7","28","0","0","0"
"1998-04-21 05:10:00.0","13","0","0","8","32","0","0","0"
"1998-04-21 05:20:00.0","9","0","0","17","39","0","0","0"
"1998-04-21 05:30:00.0","0","0","0","7","21","0","0","0"
"1998-04-21 05:40:00.0","5","0","0","8","27","0","0","0"
"1998-04-21 05:50:00.0","16","0","0","8","36","0","0","0"
"1998-04-21 06:00:00.0","6","0","0","17","36","0","0","0"
"1998-04-21 06:10:00.0","0","0","0","7","22","0","0","0"
"1998-04-21 06:20:00.0","9","0","0","8","30","0","0","0"
"1998-04-21 06:30:00.0","16","0","0","8","35","0","0","0"
"1998-04-21 06:40:00.0","2","0","0","14","30","0","0","0"
"1998-04-21 06:50:00.0","3","0","0","10","28","0","0","0"
"1998-04-21 07:00:00.0","10","0","0","8","30","0","0","0"
"1998-04-21 07:10:00.0","15","0","0","8","34","0","0","0"
"1998-04-21 07:20:00.0","0","0","0","10","25","0","0","0"
"1998-04-21 07:30:00.0","4","0","58","13","178","0","0","0"
"1998-04-21 07:40:00.0","11","0","27","8","83","0","0","0"
"1998-04-21 07:50:00.0","12","0","0","7","71","19","10","0"
"1998-04-21 08:00:00.0","0","0","0","17","65","10","15","0"
"1998-04-21 08:10:00.0","5","0","0","8","49","4","5","2"
"1998-04-21 08:20:00.0","16","0","0","7","317","0","0","272"
"1998-04-21 08:30:00.0","5","0","0","8","344","0","0","305"
"1998-04-21 08:40:00.0","0","0","0","15","348","0","0","308"
"1998-04-21 08:50:00.0","11","0","0","8","346","0","0","304"
"1998-04-21 09:00:00.0","15","0","0","7","359","0","0","311"
"1998-04-21 09:10:00.0","1","0","0","7","352","0","0","317"
"1998-04-21 09:20:00.0","1","0","0","8","349","0","0","314"
"1998-04-21 09:30:00.0","13","0","0","7","355","0","0","309"
"1998-04-21 09:40:00.0","13","0","0","16","103","0","0","53"
"1998-04-21 09:50:00.0","0","0","0","8","45","1","0","14"
"1998-04-21 10:00:00.0","5","0","0","7","67","3","0","39"
"1998-04-21 10:10:00.0","12","0","0","8","86","16","0","40"
"1998-04-21 10:20:00.0","9","0","0","7","61","6","0","28"
"1998-04-21 10:30:00.0","0","0","0","10","67","0","0","45"
"1998-04-21 10:40:00.0","6","0","0","15","35","0","0","0"
"1998-04-21 10:50:00.0","15","0","0","15","42","0","0","0"
"1998-04-21 11:00:00.0","5","0","0","8","35","9","0","0"
"1998-04-21 11:10:00.0","0","0","0","12","37","10","0","0"
"1998-04-21 11:20:00.0","8","0","0","11","32","0","0","0"
"1998-04-21 11:30:00.0","16","0","0","8","36","0","0","0"
"1998-04-21 11:40:00.0","4","0","0","8","26","0","0","0"
"1998-04-21 11:50:00.0","2","0","0","8","25","0","0","0"
"1998-04-21 12:00:00.0","13","0","0","8","32","0","0","0"
"1998-04-21 12:10:00.0","16","0","0","15","44","1","0","0"
"1998-04-21 12:20:00.0","15","0","69","8","105","0","0","0"
"1998-04-21 12:30:00.0","8","0","0","8","29","0","0","0"
"1998-04-21 12:40:00.0","0","0","0","8","23","0","0","0"
"1998-04-21 12:50:00.0","15","0","0","8","36","0","0","0"
"1998-04-21 13:00:00.0","17","0","0","15","49","4","0","0"
"1998-04-21 13:10:00.0","0","0","0","10","33","10","0","0"
"1998-04-21 13:20:00.0","1","0","0","8","32","9","0","0"
"1998-04-21 13:30:00.0","23","0","0","8","52","10","0","0"
"1998-04-21 13:40:00.0","8","0","0","7","38","10","0","0"
"1998-04-21 13:50:00.0","0","0","0","8","31","9","0","0"
"1998-04-21 14:00:00.0","12","0","0","17","51","10","0","0"
"1998-04-21 14:10:00.0","16","0","0","7","44","9","0","0"
"1998-04-21 14:20:00.0","4","0","0","8","35","10","0","0"
"1998-04-21 14:30:00.0","3","0","0","8","34","9","0","0"
"1998-04-21 14:40:00.0","12","0","0","8","43","10","0","0"
"1998-04-21 14:50:00.0","16","0","0","8","44","9","0","0"
"1998-04-21 15:00:00.0","1","0","0","16","41","10","0","0"
"1998-04-21 15:10:00.0","6","0","0","8","38","10","0","0"
"1998-04-21 15:20:00.0","11","0","0","8","41","9","0","0"
"1998-04-21 15:30:00.0","14","0","0","8","44","10","0","0"
"1998-04-21 15:40:00.0","6","0","0","8","37","10","0","0"
"1998-04-21 15:50:00.0","0","0","0","8","32","9","0","0"
"1998-04-21 16:00:00.0","14","0","0","7","42","9","0","0"
"1998-04-21 16:10:00.0","12","0","0","16","48","9","0","0"
"1998-04-21 16:20:00.0","6","0","0","7","35","10","0","0"
"1998-04-21 16:30:00.0","0","0","0","8","31","9","0","0"
"1998-04-21 16:40:00.0","16","0","0","8","45","9","0","0"
"1998-04-21 16:50:00.0","16","0","0","7","49","14","0","0"
"1998-04-21 17:00:00.0","0","0","0","8","41","10","8","0"
"1998-04-21 17:10:00.0","3","0","0","9","29","0","3","0"
"1998-04-21 17:20:00.0","22","0","0","16","50","0","0","0"
"1998-04-21 17:30:00.0","6","0","0","8","27","0","0","0"
"1998-04-21 17:40:00.0","0","0","0","8","22","0","0","0"
"1998-04-21 17:50:00.0","9","0","0","8","31","0","0","0"
"1998-04-21 18:00:00.0","20","0","0","8","40","0","0","0"
"1998-04-21 18:10:00.0","1","0","0","8","22","0","0","0"
"1998-04-21 18:20:00.0","0","0","0","14","35","8","0","0"
"1998-04-21 18:30:00.0","19","0","0","11","42","0","0","0"
"1998-04-21 18:40:00.0","9","0","0","15","37","0","0","0"
"1998-04-21 18:50:00.0","0","0","0","10","24","1","0","0"
"1998-04-21 19:00:00.0","4","0","0","14","33","1","0","0"
"1998-04-21 19:10:00.0","19","0","0","8","39","0","0","0"
"1998-04-21 19:20:00.0","6","0","0","15","42","9","0","0"
"1998-04-21 19:30:00.0","0","0","0","16","38","9","0","0"
"1998-04-21 19:40:00.0","11","0","0","8","44","3","9","0"
"1998-04-21 19:50:00.0","15","0","0","15","60","0","16","0"
"1998-04-21 20:00:00.0","4","0","0","8","42","0","17","0"
"1998-04-21 20:10:00.0","6","0","0","8","47","0","17","0"
"1998-04-21 20:20:00.0","8","46","0","7","89","0","16","0"
"1998-04-21 20:30:00.0","14","45","0","16","102","0","15","0"
"1998-04-21 20:40:00.0","0","46","0","8","80","0","14","0"
"1998-04-21 20:50:00.0","6","46","0","8","85","0","13","0"
"1998-04-21 21:00:00.0","10","45","0","8","89","0","14","0"
"1998-04-21 21:10:00.0","12","46","0","15","98","0","13","0"
"1998-04-21 21:20:00.0","2","46","0","8","82","0","13","0"
"1998-04-21 21:30:00.0","4","45","0","8","81","0","13","0"
"1998-04-21 21:40:00.0","14","45","0","8","92","0","13","0"
"1998-04-21 21:50:00.0","8","46","0","16","95","0","13","0"
"1998-04-21 22:00:00.0","5","47","0","8","87","0","15","0"
"1998-04-21 22:10:00.0","2","46","0","8","83","0","14","0"
"1998-04-21 22:20:00.0","16","44","37","7","149","20","13","0"
"1998-04-21 22:30:00.0","4","44","0","16","92","0","16","0"
"1998-04-21 22:40:00.0","6","44","0","8","85","1","13","0"
"1998-04-21 22:50:00.0","5","0","0","8","28","1","1","0"
"1998-04-21 23:00:00.0","15","0","0","8","35","0","0","0"
"1998-04-21 23:10:00.0","1","0","0","8","23","0","0","0"
"1998-04-21 23:20:00.0","6","0","0","17","36","0","0","0"
"1998-04-21 23:30:00.0","9","0","0","7","30","0","0","0"
"1998-04-21 23:40:00.0","13","0","0","8","32","0","0","0"
"1998-04-21 23:50:00.0","1","0","0","8","25","1","0","0"
"1998-04-22 00:00:00.0","4","0","0","14","50","19","0","0"
"1998-04-22 00:10:00.0","13","0","0","11","36","0","0","0"
"1998-04-22 00:20:00.0","9","0","0","7","29","0","0","0"
"1998-04-22 00:30:00.0","3","0","0","8","25","0","0","0"
"1998-04-22 00:40:00.0","2","0","0","8","24","0","0","0"
"1998-04-22 00:50:00.0","15","0","0","17","43","0","0","0"
"1998-04-22 01:00:00.0","7","0","0","7","27","0","0","0"
"1998-04-22 01:10:00.0","4","0","0","8","26","0","0","0"
"1998-04-22 01:20:00.0","4","0","0","7","25","0","0","0"
"1998-04-22 01:30:00.0","15","0","0","8","35","0","0","0"
"1998-04-22 01:40:00.0","3","0","0","17","32","0","0","0"
"1998-04-22 01:50:00.0","5","0","0","8","27","0","0","0"
"1998-04-22 02:00:00.0","6","0","0","8","28","0","0","0"
"1998-04-22 02:10:00.0","15","0","0","7","34","0","0","0"
"1998-04-22 02:20:00.0","0","0","0","10","23","0","0","0"
"1998-04-22 02:30:00.0","6","0","0","15","34","0","0","0"
"1998-04-22 02:40:00.0","10","0","0","7","30","0","0","0"
"1998-04-22 02:50:00.0","12","0","0","8","31","0","0","0"
"1998-04-22 03:00:00.0","0","0","0","8","21","0","0","0"
"1998-04-22 03:10:00.0","4","0","0","15","33","0","0","0"
"1998-04-22 03:20:00.0","15","0","0","9","36","0","0","0"
"1998-04-22 03:30:00.0","8","0","0","8","29","0","0","0"
"1998-04-22 03:40:00.0","0","0","0","8","21","0","0","0"
"1998-04-22 03:50:00.0","3","0","0","8","25","0","0","0"
"1998-04-22 04:00:00.0","20","0","0","16","47","0","0","0"
"1998-04-22 04:10:00.0","4","0","0","8","26","0","0","0"
"1998-04-22 04:20:00.0","0","0","0","8","21","0","0","0"
"1998-04-22 04:30:00.0","5","0","0","8","26","0","0","0"
"1998-04-22 04:40:00.0","21","0","0","7","39","0","0","0"
"1998-04-22 04:50:00.0","2","0","0","17","31","0","0","0"
"1998-04-22 05:00:00.0","0","0","0","7","21","0","0","0"
"1998-04-22 05:10:00.0","6","0","0","8","28","0","0","0"
"1998-04-22 05:20:00.0","20","0","0","8","39","0","0","0"
"1998-04-22 05:30:00.0","0","0","0","8","22","0","0","0"
"1998-04-22 05:40:00.0","0","0","0","16","29","0","0","0"
"1998-04-22 05:50:00.0","11","0","0","8","31","0","0","0"
"1998-04-22 06:00:00.0","16","0","0","7","35","0","0","0"
"1998-04-22 06:10:00.0","0","0","0","8","21","0","0","0"
"1998-04-22 06:20:00.0","0","0","0","15","30","0","0","0"
"1998-04-22 06:30:00.0","14","0","0","10","36","0","0","0"
"1998-04-22 06:40:00.0","13","0","0","8","32","0","0","0"
"1998-04-22 06:50:00.0","0","0","0","7","22","0","0","0"
"1998-04-22 07:00:00.0","1","0","0","8","22","0","0","0"
"1998-04-22 07:10:00.0","16","0","0","17","45","0","0","0"
"1998-04-22 07:20:00.0","5","0","0","8","77","3","0","0"
"1998-04-22 07:30:00.0","5","0","27","8","92","0","0","0"
"1998-04-22 07:40:00.0","2","0","0","7","29","5","0","0"
"1998-04-22 07:50:00.0","16","0","0","9","39","1","3","0"
"1998-04-22 08:00:00.0","2","0","0","16","60","11","17","0"
"1998-04-22 08:10:00.0","6","0","0","7","32","1","4","0"
"1998-04-22 08:20:00.0","5","0","0","8","27","0","0","0"
"1998-04-22 08:30:00.0","15","0","0","16","48","0","0","0"
"1998-04-22 08:40:00.0","0","0","0","7","34","0","0","0"
"1998-04-22 08:50:00.0","6","0","0","8","39","0","0","0"
"1998-04-22 09:00:00.0","7","0","0","8","40","0","0","0"
"1998-04-22 09:10:00.0","14","0","0","10","52","0","0","0"
"1998-04-22 09:20:00.0","0","0","0","13","48","14","0","0"
"1998-04-22 09:30:00.0","4","0","0","8","34","0","0","0"
"1998-04-22 09:40:00.0","11","0","0","8","38","0","0","0"
"1998-04-22 09:50:00.0","11","0","0","7","38","0","0","0"
"1998-04-22 10:00:00.0","0","0","0","17","38","1","0","0"
"1998-04-22 10:10:00.0","1","0","0","7","61","30","0","0"
"1998-04-22 10:20:00.0","16","0","0","8","57","16","0","0"
"1998-04-22 10:30:00.0","10","0","0","7","54","16","0","0"
"1998-04-22 10:40:00.0","0","0","0","12","48","17","0","0"
"1998-04-22 10:50:00.0","1","0","0","12","37","2","0","0"
"1998-04-22 11:00:00.0","15","0","0","3","29","11","1","0"
"1998-04-22 11:10:00.0","16","0","0","3","30","11","2","0"
"1998-04-22 11:20:00.0","3","0","0","8","40","3","0","0"
"1998-04-22 11:30:00.0","0","0","0","16","48","5","0","0"
"1998-04-22 11:40:00.0","13","0","38","8","93","16","0","0"
"1998-04-22 11:50:00.0","15","0","0","8","56","16","0","0"
"1998-04-22 12:00:00.0","2","0","0","7","43","15","0","0"
"1998-04-22 12:10:00.0","1","0","15","13","49","0","0","0"
"1998-04-22 12:20:00.0","18","0","20","12","68","0","0","0"
"1998-04-22 12:30:00.0","15","0","0","8","40","1","0","0"
"1998-04-22 12:40:00.0","0","0","0","8","26","0","0","0"
"1998-04-22 12:50:00.0","5","0","0","8","31","0","0","0"
"1998-04-22 13:00:00.0","16","0","0","8","42","2","0","0"
"1998-04-22 13:10:00.0","13","0","0","16","46","0","0","0"
"1998-04-22 13:20:00.0","0","0","0","8","26","0","0","0"
"1998-04-22 13:30:00.0","6","0","0","8","31","0","0","0"
"1998-04-22 13:40:00.0","16","0","0","7","39","0","0","0"
"1998-04-22 13:50:00.0","10","0","0","8","33","0","0","0"
"1998-04-22 14:00:00.0","3","0","0","11","33","0","0","0"
"1998-04-22 14:10:00.0","5","0","0","12","35","0","0","0"
"1998-04-22 14:20:00.0","16","0","0","8","39","0","0","0"
"1998-04-22 14:30:00.0","7","0","0","8","30","0","0","0"
"1998-04-22 14:40:00.0","6","0","0","7","32","0","0","0"
"1998-04-22 14:50:00.0","5","0","0","8","30","0","0","0"
"1998-04-22 15:00:00.0","15","0","0","12","43","0","0","0"
"1998-04-22 15:10:00.0","4","0","0","12","35","0","0","0"
"1998-04-22 15:20:00.0","6","0","0","8","30","0","0","0"
"1998-04-22 15:30:00.0","8","0","0","8","33","0","0","0"
"1998-04-22 15:40:00.0","15","0","0","7","38","0","0","0"
"1998-04-22 15:50:00.0","8","0","0","8","32","0","0","0"
"1998-04-22 16:00:00.0","1","0","0","8","27","0","0","0"
"1998-04-22 16:10:00.0","11","0","0","16","44","0","0","0"
"1998-04-22 16:20:00.0","14","0","0","8","38","0","0","0"
"1998-04-22 16:30:00.0","7","0","0","8","31","0","0","0"
"1998-04-22 16:40:00.0","0","0","0","8","26","0","0","0"
"1998-04-22 16:50:00.0","13","0","0","7","38","1","0","0"
"1998-04-22 17:00:00.0","15","0","0","8","71","0","0","0"
"1998-04-22 17:10:00.0","4","0","0","14","160","0","0","0"
"1998-04-22 17:20:00.0","0","0","0","11","165","0","0","0"
"1998-04-22 17:30:00.0","15","0","0","7","40","0","0","0"
"1998-04-22 17:40:00.0","16","0","0","8","39","0","0","0"
"1998-04-22 17:50:00.0","0","0","0","16","34","0","0","0"
"1998-04-22 18:00:00.0","2","0","0","9","31","2","0","0"
"1998-04-22 18:10:00.0","19","0","0","8","42","0","0","0"
"1998-04-22 18:20:00.0","9","0","0","15","42","0","0","0"
"1998-04-22 18:30:00.0","0","0","0","8","25","0","0","0"
"1998-04-22 18:40:00.0","5","0","0","7","46","0","0","0"
"1998-04-22 18:50:00.0","23","0","0","15","286","0","0","0"
"1998-04-22 19:00:00.0","3","0","0","8","377","9","0","0"
"1998-04-22 19:10:00.0","0","0","0","12","337","10","0","0"
"1998-04-22 19:20:00.0","13","0","0","12","296","9","0","0"
"1998-04-22 19:30:00.0","17","0","0","16","92","9","0","0"
"1998-04-22 19:40:00.0","1","0","0","8","51","10","13","0"
"1998-04-22 19:50:00.0","2","0","0","8","54","10","15","0"
"1998-04-22 20:00:00.0","17","0","0","15","71","9","13","0"
"1998-04-22 20:10:00.0","13","13","0","8","58","8","1","0"
"1998-04-22 20:20:00.0","0","62","0","8","87","1","0","0"
"1998-04-22 20:30:00.0","6","54","0","16","108","0","14","0"
"1998-04-22 20:40:00.0","13","0","0","7","53","0","14","0"
"1998-04-22 20:50:00.0","11","0","0","8","49","0","14","0"
"1998-04-22 21:00:00.0","6","0","0","16","55","0","14","0"
"1998-04-22 21:10:00.0","0","0","0","7","40","0","14","0"
"1998-04-22 21:20:00.0","15","0","0","8","55","0","14","0"
"1998-04-22 21:30:00.0","12","0","0","16","58","0","14","0"
"1998-04-22 21:40:00.0","3","0","0","8","46","2","14","0"
"1998-04-22 21:50:00.0","5","0","0","8","48","0","16","0"
"1998-04-22 22:00:00.0","15","0","0","8","56","0","16","0"
"1998-04-22 22:10:00.0","9","0","0","16","59","0","16","0"
"1998-04-22 22:20:00.0","0","0","0","8","42","0","16","0"
"1998-04-22 22:30:00.0","8","0","0","7","51","0","15","0"
"1998-04-22 22:40:00.0","19","0","0","15","66","0","16","0"
"1998-04-22 22:50:00.0","2","0","0","10","46","0","16","0"
"1998-04-22 23:00:00.0","0","0","0","7","42","0","15","0"
"1998-04-22 23:10:00.0","11","0","0","8","52","0","16","0"
"1998-04-22 23:20:00.0","18","0","0","16","68","0","16","0"
"1998-04-22 23:30:00.0","0","0","0","8","43","0","16","0"
"1998-04-22 23:40:00.0","0","0","0","8","43","0","16","0"
"1998-04-22 23:50:00.0","19","0","0","8","57","1","13","0"
"1998-04-23 00:00:00.0","11","0","0","15","38","1","0","0"
"1998-04-23 00:10:00.0","0","0","0","10","24","0","0","0"
"1998-04-23 00:20:00.0","0","0","0","8","23","0","0","0"
"1998-04-23 00:30:00.0","23","0","0","8","42","0","0","0"
"1998-04-23 00:40:00.0","6","0","0","8","27","0","0","0"
"1998-04-23 00:50:00.0","0","0","0","8","22","0","0","0"
"1998-04-23 01:00:00.0","5","0","0","8","27","0","0","0"
"1998-04-23 01:10:00.0","21","0","0","7","40","0","0","0"
"1998-04-23 01:20:00.0","3","0","0","9","45","20","0","0"
"1998-04-23 01:30:00.0","0","0","0","16","29","0","0","0"
"1998-04-23 01:40:00.0","13","0","0","8","34","0","0","0"
"1998-04-23 01:50:00.0","16","0","0","8","36","0","0","0"
"1998-04-23 02:00:00.0","0","0","0","8","22","0","0","0"
"1998-04-23 02:10:00.0","0","0","0","8","22","0","0","0"
"1998-04-23 02:20:00.0","18","0","0","7","37","0","0","0"
"1998-04-23 02:30:00.0","11","0","0","8","32","0","0","0"
"1998-04-23 02:40:00.0","0","0","0","17","30","0","0","0"
"1998-04-23 02:50:00.0","0","0","0","8","22","0","0","0"
"1998-04-23 03:00:00.0","20","0","0","8","39","0","0","0"
"1998-04-23 03:10:00.0","8","0","0","8","29","0","0","0"
"1998-04-23 03:20:00.0","0","0","0","7","22","0","0","0"
"1998-04-23 03:30:00.0","3","0","0","8","25","0","0","0"
"1998-04-23 03:40:00.0","20","0","0","8","39","0","0","0"
"1998-04-23 03:50:00.0","6","0","0","17","36","0","0","0"
"1998-04-23 04:00:00.0","0","0","0","8","27","5","0","0"
"1998-04-23 04:10:00.0","8","0","0","8","44","15","0","0"
"1998-04-23 04:20:00.0","18","0","0","8","38","0","0","0"
"1998-04-23 04:30:00.0","2","0","0","8","24","0","0","0"
"1998-04-23 04:40:00.0","0","0","0","8","21","0","0","0"
"1998-04-23 04:50:00.0","12","0","0","8","32","0","0","0"
"1998-04-23 05:00:00.0","17","0","0","17","46","0","0","0"
"1998-04-23 05:10:00.0","0","0","0","8","22","0","0","0"
"1998-04-23 05:20:00.0","0","0","0","7","21","0","0","0"
"1998-04-23 05:30:00.0","15","0","0","8","37","0","0","0"
"1998-04-23 05:40:00.0","13","0","0","8","32","0","0","0"
"1998-04-23 05:50:00.0","0","0","0","8","22","0","0","0"
"1998-04-23 06:00:00.0","0","0","0","8","22","0","0","0"
"1998-04-23 06:10:00.0","19","0","0","17","48","0","0","0"
"1998-04-23 06:20:00.0","9","0","0","8","30","0","0","0"
"1998-04-23 06:30:00.0","0","0","0","8","22","0","0","0"
"1998-04-23 06:40:00.0","2","0","0","8","24","0","0","0"
"1998-04-23 06:50:00.0","19","0","0","8","39","0","0","0"
"1998-04-23 07:00:00.0","7","0","0","8","27","0","0","0"
"1998-04-23 07:10:00.0","0","0","0","11","36","0","0","0"
"1998-04-23 07:20:00.0","6","0","40","12","171","4","13","0"
"1998-04-23 07:30:00.0","18","0","29","8","95","3","8","0"
"1998-04-23 07:40:00.0","4","0","0","7","37","4","0","0"
"1998-04-23 07:50:00.0","0","0","0","16","36","7","0","0"
"1998-04-23 08:00:00.0","9","0","0","8","237","0","0","205"
"1998-04-23 08:10:00.0","19","0","0","7","339","0","0","298"
"1998-04-23 08:20:00.0","6","0","0","7","337","0","0","305"
"1998-04-23 08:30:00.0","0","0","0","8","331","0","0","306"
"1998-04-23 08:40:00.0","7","0","0","8","340","0","0","307"
"1998-04-23 08:50:00.0","18","0","0","14","367","0","0","320"
"1998-04-23 09:00:00.0","3","0","0","8","337","0","0","309"
"1998-04-23 09:10:00.0","0","0","0","7","339","0","0","314"
"1998-04-23 09:20:00.0","10","0","0","7","196","0","0","162"
"1998-04-23 09:30:00.0","14","0","0","8","47","0","0","15"
"1998-04-23 09:40:00.0","4","0","0","8","42","0","0","18"
"1998-04-23 09:50:00.0","0","0","0","16","67","0","0","39"
"1998-04-23 10:00:00.0","13","0","0","7","71","0","0","39"
"1998-04-23 10:10:00.0","11","0","0","8","93","0","0","66"
"1998-04-23 10:20:00.0","4","0","0","8","25","0","0","0"
"1998-04-23 10:30:00.0","1","0","0","8","24","0","0","0"
"1998-04-23 10:40:00.0","16","0","0","8","35","0","0","0"
"1998-04-23 10:50:00.0","6","0","0","16","36","0","0","0"
"1998-04-23 11:00:00.0","4","0","0","8","25","0","0","0"
"1998-04-23 11:10:00.0","5","0","0","8","27","0","0","0"
"1998-04-23 11:20:00.0","15","0","0","7","34","0","0","0"
"1998-04-23 11:30:00.0","4","0","0","8","25","0","0","0"
"1998-04-23 11:40:00.0","4","0","0","8","26","1","0","0"
"1998-04-23 11:50:00.0","9","0","0","12","34","0","0","0"
"1998-04-23 12:00:00.0","14","0","0","12","44","7","0","0"
"1998-04-23 12:10:00.0","2","0","0","8","27","2","0","0"
"1998-04-23 12:20:00.0","4","0","0","8","28","2","0","0"
"1998-04-23 12:30:00.0","13","0","64","7","101","0","0","0"
"1998-04-23 12:40:00.0","12","0","0","8","32","0","0","0"
"1998-04-23 12:50:00.0","8","0","0","8","43","13","0","0"
"1998-04-23 13:00:00.0","1","0","13","19","63","15","0","0"
"1998-04-23 13:10:00.0","16","0","0","7","36","0","0","0"
"1998-04-23 13:20:00.0","12","0","0","8","32","0","0","0"
"1998-04-23 13:30:00.0","4","0","0","16","46","0","10","0"
"1998-04-23 13:40:00.0","5","0","0","8","28","0","0","0"
"1998-04-23 13:50:00.0","16","0","0","7","34","0","0","0"
"1998-04-23 14:00:00.0","12","0","0","8","32","0","0","0"
"1998-04-23 14:10:00.0","0","0","0","7","21","0","0","0"
"1998-04-23 14:20:00.0","7","0","0","16","35","0","0","0"
"1998-04-23 14:30:00.0","16","0","0","7","35","0","0","0"
"1998-04-23 14:40:00.0","9","0","0","8","29","0","0","0"
"1998-04-23 14:50:00.0","0","0","0","8","22","0","0","0"
"1998-04-23 15:00:00.0","10","0","0","7","31","0","0","0"
"1998-04-23 15:10:00.0","21","0","0","11","42","0","0","0"
"1998-04-23 15:20:00.0","1","0","0","13","29","0","0","0"
"1998-04-23 15:30:00.0","0","0","0","8","21","0","0","0"
"1998-04-23 15:40:00.0","12","0","0","8","33","0","0","0"
"1998-04-23 15:50:00.0","20","0","0","8","39","0","0","0"
"1998-04-23 16:00:00.0","0","0","0","7","21","0","0","0"
"1998-04-23 16:10:00.0","0","0","0","17","31","0","0","0"
"1998-04-23 16:20:00.0","20","0","0","7","38","0","0","0"
"1998-04-23 16:30:00.0","12","0","0","8","31","0","0","0"
"1998-04-23 16:40:00.0","0","0","0","7","21","0","0","0"
"1998-04-23 16:50:00.0","3","0","0","8","25","0","0","0"
"1998-04-23 17:00:00.0","23","0","0","8","41","0","0","0"
"1998-04-23 17:10:00.0","4","0","0","17","36","0","0","0"
"1998-04-23 17:20:00.0","0","0","0","8","22","0","0","0"
"1998-04-23 17:30:00.0","11","0","0","8","31","0","0","0"
"1998-04-23 17:40:00.0","18","0","0","8","39","0","0","0"
