"Time","Clothes drier (without condenser) ()","Dish washer (12 place setting)","Microwave oven ()","Site consumption ()","Total site light consumption ()","Washing machine ()","Water heater ()"
"1998-01-27 12:00:00.0","0","0","0","27","0","0","0"
"1998-01-27 12:10:00.0","0","0","0","25","0","0","0"
"1998-01-27 12:20:00.0","0","0","0","26","0","0","0"
"1998-01-27 12:30:00.0","0","0","0","34","0","0","0"
"1998-01-27 12:40:00.0","0","0","0","53","0","0","0"
"1998-01-27 12:50:00.0","0","0","0","58","0","0","0"
"1998-01-27 13:00:00.0","0","0","0","43","0","0","0"
"1998-01-27 13:10:00.0","0","0","0","42","0","0","0"
"1998-01-27 13:20:00.0","0","0","0","30","0","0","0"
"1998-01-27 13:30:00.0","0","0","0","26","0","0","0"
"1998-01-27 13:40:00.0","0","0","0","25","0","0","0"
"1998-01-27 13:50:00.0","0","0","0","27","0","0","0"
"1998-01-27 14:00:00.0","0","0","0","25","0","0","0"
"1998-01-27 14:10:00.0","0","0","0","26","0","0","0"
"1998-01-27 14:20:00.0","0","0","0","26","0","0","0"
"1998-01-27 14:30:00.0","0","0","0","41","0","0","0"
"1998-01-27 14:40:00.0","0","0","0","35","0","0","0"
"1998-01-27 14:50:00.0","0","0","0","26","0","0","0"
"1998-01-27 15:00:00.0","0","0","0","26","0","0","0"
"1998-01-27 15:10:00.0","0","0","0","43","0","0","0"
"1998-01-27 15:20:00.0","0","0","0","44","0","0","0"
"1998-01-27 15:30:00.0","0","0","0","42","0","0","0"
"1998-01-27 15:40:00.0","0","0","0","42","0","0","0"
"1998-01-27 15:50:00.0","0","0","0","37","0","0","0"
"1998-01-27 16:00:00.0","0","0","0","31","0","0","0"
"1998-01-27 16:10:00.0","0","0","0","40","0","0","0"
"1998-01-27 16:20:00.0","0","0","0","31","0","0","0"
"1998-01-27 16:30:00.0","0","0","0","25","0","0","0"
"1998-01-27 16:40:00.0","0","0","0","27","0","0","0"
"1998-01-27 16:50:00.0","0","0","0","24","0","0","0"
"1998-01-27 17:00:00.0","0","0","0","27","0","0","0"
"1998-01-27 17:10:00.0","0","0","0","24","0","0","0"
"1998-01-27 17:20:00.0","0","0","0","27","0","0","0"
"1998-01-27 17:30:00.0","0","0","0","24","0","0","0"
"1998-01-27 17:40:00.0","0","0","0","65","29","0","0"
"1998-01-27 17:50:00.0","0","0","0","111","47","0","0"
"1998-01-27 18:00:00.0","0","0","0","132","45","0","0"
"1998-01-27 18:10:00.0","0","0","0","123","45","0","0"
"1998-01-27 18:20:00.0","0","0","0","143","72","0","0"
"1998-01-27 18:30:00.0","0","0","0","142","82","0","0"
"1998-01-27 18:40:00.0","0","0","0","485","90","0","0"
"1998-01-27 18:50:00.0","0","0","0","572","98","0","0"
"1998-01-27 19:00:00.0","0","0","0","424","103","0","0"
"1998-01-27 19:10:00.0","0","0","0","243","79","0","0"
"1998-01-27 19:20:00.0","0","0","0","276","62","0","0"
"1998-01-27 19:30:00.0","0","0","0","296","61","5","0"
"1998-01-27 19:40:00.0","0","0","0","734","61","347","0"
"1998-01-27 19:50:00.0","0","0","0","416","59","90","0"
"1998-01-27 20:00:00.0","0","0","0","321","50","41","0"
"1998-01-27 20:10:00.0","0","0","0","270","53","10","0"
"1998-01-27 20:20:00.0","0","0","0","158","47","21","0"
"1998-01-27 20:30:00.0","0","0","0","167","48","52","0"
"1998-01-27 20:40:00.0","0","7","0","169","57","43","0"
"1998-01-27 20:50:00.0","161","151","0","425","55","0","0"
"1998-01-27 21:00:00.0","208","357","0","638","7","0","0"
"1998-01-27 21:10:00.0","212","361","0","623","0","0","0"
"1998-01-27 21:20:00.0","213","267","0","526","0","0","0"
"1998-01-27 21:30:00.0","261","25","0","312","0","0","0"
"1998-01-27 21:40:00.0","216","72","0","314","0","0","0"
"1998-01-27 21:50:00.0","212","362","0","625","0","0","0"
"1998-01-27 22:00:00.0","212","361","0","683","0","0","69"
"1998-01-27 22:10:00.0","208","96","0","792","0","0","458"
"1998-01-27 22:20:00.0","211","0","0","701","0","0","464"
"1998-01-27 22:30:00.0","256","0","0","745","0","0","464"
"1998-01-27 22:40:00.0","156","0","0","646","0","0","463"
"1998-01-27 22:50:00.0","24","0","0","526","0","0","468"
"1998-01-27 23:00:00.0","0","0","0","512","0","0","469"
"1998-01-27 23:10:00.0","0","0","0","324","0","0","278"
"1998-01-27 23:20:00.0","0","0","0","250","0","0","194"
"1998-01-27 23:30:00.0","0","0","0","144","0","0","96"
"1998-01-27 23:40:00.0","0","0","0","75","0","0","43"
"1998-01-27 23:50:00.0","0","0","0","67","0","0","41"
"1998-01-28 00:00:00.0","0","0","0","79","0","0","52"
"1998-01-28 00:10:00.0","0","0","0","71","0","0","45"
"1998-01-28 00:20:00.0","0","0","0","64","0","0","38"
"1998-01-28 00:30:00.0","0","0","0","69","0","0","43"
"1998-01-28 00:40:00.0","0","0","0","27","0","0","0"
"1998-01-28 00:50:00.0","0","0","0","38","0","0","0"
"1998-01-28 01:00:00.0","0","0","0","151","0","0","113"
"1998-01-28 01:10:00.0","0","0","0","25","0","0","0"
"1998-01-28 01:20:00.0","0","0","0","26","0","0","0"
"1998-01-28 01:30:00.0","0","0","0","43","0","0","0"
"1998-01-28 01:40:00.0","0","0","0","44","0","0","0"
"1998-01-28 01:50:00.0","0","0","0","41","0","0","0"
"1998-01-28 02:00:00.0","0","0","0","42","0","0","0"
