"Time","Electric Cooker (hot plate+oven) ()","Fridge freezer (267l/48l)","Microwave oven (1,2kW)","Non halogen lamp 1 (0,5kW)","Site consumption ()","Total site light consumption ()","TV (70cm)","TV ()","Vertical freezer (288l)","Washing machine (800rpm)"
"1998-01-27 05:50:00.0","0","2","0","0","37","0","0","0","19","0"
"1998-01-27 06:00:00.0","0","12","0","0","38","0","0","0","4","0"
"1998-01-27 06:10:00.0","0","24","0","0","52","0","0","0","0","0"
"1998-01-27 06:20:00.0","0","5","0","0","34","0","0","0","0","0"
"1998-01-27 06:30:00.0","0","2","0","0","40","0","0","0","8","0"
"1998-01-27 06:40:00.0","0","2","0","0","45","2","0","0","13","0"
"1998-01-27 06:50:00.0","0","2","0","0","77","32","12","0","0","0"
"1998-01-27 07:00:00.0","0","26","0","0","102","32","15","0","0","0"
"1998-01-27 07:10:00.0","0","14","29","0","122","32","15","0","0","0"
"1998-01-27 07:20:00.0","0","2","0","0","96","32","14","0","19","0"
"1998-01-27 07:30:00.0","0","2","31","0","123","42","14","0","2","0"
"1998-01-27 07:40:00.0","0","2","0","0","98","53","13","0","0","0"
"1998-01-27 07:50:00.0","0","24","0","0","116","50","15","0","0","0"
"1998-01-27 08:00:00.0","0","18","19","0","113","34","10","0","1","0"
"1998-01-27 08:10:00.0","0","2","0","0","53","2","0","0","20","0"
"1998-01-27 08:20:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 08:30:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 08:40:00.0","0","18","0","0","47","0","0","0","0","0"
"1998-01-27 08:50:00.0","0","21","0","0","67","7","7","0","2","0"
"1998-01-27 09:00:00.0","0","2","0","0","113","12","14","0","20","0"
"1998-01-27 09:10:00.0","0","2","0","0","199","31","16","0","0","0"
"1998-01-27 09:20:00.0","0","2","0","0","190","35","15","0","0","0"
"1998-01-27 09:30:00.0","0","13","0","0","56","3","14","0","0","0"
"1998-01-27 09:40:00.0","0","24","0","0","70","0","13","0","7","0"
"1998-01-27 09:50:00.0","0","6","0","0","48","0","1","0","14","0"
"1998-01-27 10:00:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 10:10:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 10:20:00.0","0","4","0","0","34","0","0","0","0","0"
"1998-01-27 10:30:00.0","0","25","0","0","67","0","0","0","14","0"
"1998-01-27 10:40:00.0","0","13","0","0","48","0","0","0","8","0"
"1998-01-27 10:50:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 11:00:00.0","0","2","0","0","31","0","0","0","0","0"
"1998-01-27 11:10:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 11:20:00.0","0","19","0","0","68","0","0","0","21","0"
"1998-01-27 11:30:00.0","0","21","0","0","49","0","0","0","0","0"
"1998-01-27 11:40:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 11:50:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 12:00:00.0","0","2","35","0","83","0","7","0","9","0"
"1998-01-27 12:10:00.0","0","12","0","0","70","1","14","0","14","0"
"1998-01-27 12:20:00.0","0","25","16","0","76","2","14","0","0","0"
"1998-01-27 12:30:00.0","0","9","0","0","85","9","15","0","0","24"
"1998-01-27 12:40:00.0","0","2","0","0","394","0","14","0","5","345"
"1998-01-27 12:50:00.0","0","3","29","0","288","7","14","0","16","193"
"1998-01-27 13:00:00.0","0","7","0","0","51","0","15","0","0","13"
"1998-01-27 13:10:00.0","0","24","0","0","76","4","15","0","0","13"
"1998-01-27 13:20:00.0","0","11","0","0","65","9","15","0","3","0"
"1998-01-27 13:30:00.0","0","2","22","0","92","8","14","0","19","0"
"1998-01-27 13:40:00.0","0","2","0","0","46","1","13","0","0","0"
"1998-01-27 13:50:00.0","0","2","0","0","45","0","13","0","0","0"
"1998-01-27 14:00:00.0","0","26","0","0","80","5","13","0","7","0"
"1998-01-27 14:10:00.0","0","15","0","0","88","17","14","0","15","0"
"1998-01-27 14:20:00.0","0","2","0","0","55","10","12","0","0","0"
"1998-01-27 14:30:00.0","0","2","0","0","56","11","13","0","0","0"
"1998-01-27 14:40:00.0","0","2","0","0","69","10","13","4","8","0"
"1998-01-27 14:50:00.0","0","18","0","0","82","11","12","1","12","0"
"1998-01-27 15:00:00.0","0","23","0","0","85","14","13","4","0","0"
"1998-01-27 15:10:00.0","0","2","0","0","70","11","15","13","0","0"
"1998-01-27 15:20:00.0","0","2","0","0","69","10","14","12","0","0"
"1998-01-27 15:30:00.0","0","2","0","0","86","10","15","12","19","0"
"1998-01-27 15:40:00.0","0","8","0","0","77","14","14","8","3","0"
"1998-01-27 15:50:00.0","0","25","0","0","67","0","14","0","0","0"
"1998-01-27 16:00:00.0","0","11","0","0","56","0","14","0","0","0"
"1998-01-27 16:10:00.0","0","2","0","0","60","3","15","0","12","0"
"1998-01-27 16:20:00.0","0","2","0","0","54","1","14","0","10","0"
"1998-01-27 16:30:00.0","0","2","0","0","47","1","13","0","0","0"
"1998-01-27 16:40:00.0","0","25","0","0","77","0","14","10","0","0"
"1998-01-27 16:50:00.0","0","22","0","0","88","0","14","12","9","0"
"1998-01-27 17:00:00.0","0","2","0","0","72","0","14","12","14","0"
"1998-01-27 17:10:00.0","0","2","0","0","59","0","13","13","0","0"
"1998-01-27 17:20:00.0","0","2","0","0","59","0","13","12","0","0"
"1998-01-27 17:30:00.0","0","9","0","0","66","2","13","1","12","0"
"1998-01-27 17:40:00.0","0","25","0","0","83","5","13","0","11","0"
"1998-01-27 17:50:00.0","0","14","0","0","76","18","14","0","0","0"
"1998-01-27 18:00:00.0","0","2","0","0","77","29","13","0","0","0"
"1998-01-27 18:10:00.0","0","2","0","0","90","35","14","0","13","0"
"1998-01-27 18:20:00.0","0","2","0","0","102","52","15","0","8","0"
"1998-01-27 18:30:00.0","0","22","0","0","89","21","15","0","0","0"
"1998-01-27 18:40:00.0","0","22","0","0","95","30","14","0","0","0"
"1998-01-27 18:50:00.0","0","2","0","0","96","36","13","0","14","0"
"1998-01-27 19:00:00.0","0","2","0","0","51","12","0","0","8","0"
"1998-01-27 19:10:00.0","0","2","0","0","32","0","0","0","0","0"
