"Time","Electric Cooker (hot plate+oven) (1,5kW)","Fridge freezer (Kitchen, 325l/75l)","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Vertical freezer (Storeroom, 145l)","Washing machine ()"
"1998-01-30 05:10:00.0","0","3","0","0","23","0","0","17","0"
"1998-01-30 05:20:00.0","0","4","0","0","22","0","0","16","0"
"1998-01-30 05:30:00.0","0","21","0","0","37","0","0","14","0"
"1998-01-30 05:40:00.0","0","21","0","0","24","0","0","0","0"
"1998-01-30 05:50:00.0","0","19","0","0","24","0","0","0","0"
"1998-01-30 06:00:00.0","0","20","0","0","23","0","0","0","0"
"1998-01-30 06:10:00.0","0","19","0","0","22","0","0","0","0"
"1998-01-30 06:20:00.0","0","19","0","0","38","1","0","16","0"
"1998-01-30 06:30:00.0","0","18","0","0","57","19","0","18","0"
"1998-01-30 06:40:00.0","0","18","0","0","82","12","7","17","0"
"1998-01-30 06:50:00.0","0","19","0","0","71","19","16","17","0"
"1998-01-30 07:00:00.0","0","18","0","0","121","34","16","17","0"
"1998-01-30 07:10:00.0","0","18","0","0","110","57","17","16","0"
"1998-01-30 07:20:00.0","0","10","0","0","94","49","16","15","0"
"1998-01-30 07:30:00.0","0","4","0","0","44","18","16","0","0"
"1998-01-30 07:40:00.0","0","3","0","0","35","10","14","0","0"
"1998-01-30 07:50:00.0","0","3","0","0","20","10","1","0","0"
"1998-01-30 08:00:00.0","0","3","0","0","55","9","15","0","0"
"1998-01-30 08:10:00.0","0","7","0","0","263","15","10","14","0"
"1998-01-30 08:20:00.0","0","21","0","0","403","10","0","18","0"
"1998-01-30 08:30:00.0","0","21","0","0","401","9","0","17","0"
"1998-01-30 08:40:00.0","0","20","0","0","399","10","0","17","0"
"1998-01-30 08:50:00.0","0","19","0","0","396","7","0","17","0"
"1998-01-30 09:00:00.0","0","18","0","0","401","0","14","16","0"
"1998-01-30 09:10:00.0","0","19","0","0","350","2","16","16","0"
"1998-01-30 09:20:00.0","0","18","0","0","49","9","16","2","0"
"1998-01-30 09:30:00.0","0","18","0","0","275","2","16","0","235"
"1998-01-30 09:40:00.0","0","18","0","0","350","0","17","0","311"
"1998-01-30 09:50:00.0","0","18","0","0","124","2","15","0","91"
"1998-01-30 10:00:00.0","0","18","0","0","45","0","0","11","17"
"1998-01-30 10:10:00.0","0","15","0","0","44","0","0","18","13"
"1998-01-30 10:20:00.0","0","3","0","0","27","0","0","17","4"
"1998-01-30 10:30:00.0","0","3","0","0","24","0","0","17","0"
"1998-01-30 10:40:00.0","0","4","0","0","27","0","2","17","0"
"1998-01-30 10:50:00.0","0","3","0","0","40","0","16","16","0"
"1998-01-30 11:00:00.0","140","3","0","0","179","0","16","17","0"
"1998-01-30 11:10:00.0","264","11","0","0","298","0","16","1","0"
"1998-01-30 11:20:00.0","90","21","0","0","131","0","16","0","0"
"1998-01-30 11:30:00.0","153","21","0","0","192","0","16","0","0"
"1998-01-30 11:40:00.0","213","20","0","0","253","0","16","0","0"
"1998-01-30 11:50:00.0","203","19","0","0","249","0","15","9","0"
"1998-01-30 12:00:00.0","87","19","0","0","135","0","9","19","0"
"1998-01-30 12:10:00.0","181","18","0","0","216","0","0","17","0"
"1998-01-30 12:20:00.0","205","19","0","0","241","0","0","18","0"
"1998-01-30 12:30:00.0","5","19","0","0","42","0","0","17","0"
"1998-01-30 12:40:00.0","0","18","0","0","37","0","0","16","0"
"1998-01-30 12:50:00.0","0","19","0","0","50","0","12","17","0"
"1998-01-30 13:00:00.0","0","18","0","0","157","0","16","6","0"
"1998-01-30 13:10:00.0","0","18","0","0","385","0","15","0","0"
"1998-01-30 13:20:00.0","0","18","0","0","386","0","15","0","0"
"1998-01-30 13:30:00.0","0","5","0","0","385","10","16","0","0"
"1998-01-30 13:40:00.0","0","3","0","0","416","38","16","5","0"
"1998-01-30 13:50:00.0","0","3","0","0","446","46","14","18","12"
"1998-01-30 14:00:00.0","0","3","0","0","432","40","15","18","6"
"1998-01-30 14:10:00.0","0","4","0","0","437","34","15","17","0"
"1998-01-30 14:20:00.0","0","17","0","0","437","38","15","16","0"
"1998-01-30 14:30:00.0","0","20","0","0","438","40","15","17","0"
"1998-01-30 14:40:00.0","0","20","0","0","604","40","14","11","167"
"1998-01-30 14:50:00.0","0","20","0","0","747","49","15","0","308"
"1998-01-30 15:00:00.0","0","19","0","0","473","51","14","0","147"
"1998-01-30 15:10:00.0","0","19","0","0","99","51","14","0","14"
"1998-01-30 15:20:00.0","1","19","0","0","99","51","15","2","11"
"1998-01-30 15:30:00.0","0","19","0","0","110","52","14","18","7"
"1998-01-30 15:40:00.0","0","18","0","0","112","39","15","18","21"
