"Time","Chest freezer (Storeroom, 191l)","Fridge freezer (172l/94l)","Halogen lamp 1 (0,5kW)","Microwave oven (0,7kW)","Site consumption ()","Total site light consumption ()","TV (36cm)","Washing machine ()"
"1998-01-24 10:40:00.0","0","20","0","0","92","1","0","0"
"1998-01-24 10:50:00.0","0","15","0","0","151","0","0","0"
"1998-01-24 11:00:00.0","0","4","0","0","63","0","0","0"
"1998-01-24 11:10:00.0","9","18","0","0","48","6","0","0"
"1998-01-24 11:20:00.0","16","19","0","0","48","0","0","0"
"1998-01-24 11:30:00.0","15","4","0","0","39","4","0","0"
"1998-01-24 11:40:00.0","15","15","0","0","46","2","0","0"
"1998-01-24 11:50:00.0","15","20","0","0","299","3","0","244"
"1998-01-24 12:00:00.0","14","7","0","0","328","0","0","284"
"1998-01-24 12:10:00.0","15","12","0","0","73","0","0","32"
"1998-01-24 12:20:00.0","14","20","0","0","76","0","0","29"
"1998-01-24 12:30:00.0","15","9","0","0","77","8","0","31"
"1998-01-24 12:40:00.0","14","11","0","0","82","7","0","35"
"1998-01-24 12:50:00.0","14","20","0","0","108","1","0","62"
"1998-01-24 13:00:00.0","14","14","0","0","51","6","0","0"
"1998-01-24 13:10:00.0","9","5","0","0","44","14","0","0"
"1998-01-24 13:20:00.0","0","21","0","0","47","9","0","0"
"1998-01-24 13:30:00.0","0","17","0","5","40","0","0","0"
"1998-01-24 13:40:00.0","2","3","0","0","34","10","0","0"
"1998-01-24 13:50:00.0","16","20","0","0","61","10","0","0"
"1998-01-24 14:00:00.0","15","18","0","0","182","5","0","126"
"1998-01-24 14:10:00.0","15","4","0","0","221","1","0","180"
"1998-01-24 14:20:00.0","15","18","0","0","78","0","0","32"
"1998-01-24 14:30:00.0","14","20","0","0","78","0","0","30"
"1998-01-24 14:40:00.0","15","3","0","0","62","0","0","29"
"1998-01-24 14:50:00.0","14","16","0","0","99","0","0","58"
"1998-01-24 15:00:00.0","14","21","0","0","79","0","0","32"
"1998-01-24 15:10:00.0","14","5","0","0","36","0","0","0"
"1998-01-24 15:20:00.0","15","14","0","0","44","0","0","0"
"1998-01-24 15:30:00.0","14","21","0","0","49","0","0","0"
"1998-01-24 15:40:00.0","14","7","0","0","38","1","0","0"
"1998-01-24 15:50:00.0","14","12","0","0","42","0","0","0"
"1998-01-24 16:00:00.0","14","20","0","0","58","0","5","0"
"1998-01-24 16:10:00.0","15","9","0","0","52","0","8","0"
"1998-01-24 16:20:00.0","14","10","0","0","52","0","8","0"
"1998-01-24 16:30:00.0","11","21","0","0","62","3","8","0"
"1998-01-24 16:40:00.0","0","11","0","0","40","0","8","0"
"1998-01-24 16:50:00.0","0","9","0","0","47","9","8","0"
"1998-01-24 17:00:00.0","0","20","0","0","52","1","8","0"
"1998-01-24 17:10:00.0","16","15","0","0","73","6","9","0"
"1998-01-24 17:20:00.0","15","4","0","0","56","0","8","0"
"1998-01-24 17:30:00.0","15","21","0","0","70","0","7","0"
"1998-01-24 17:40:00.0","14","18","0","0","68","0","8","0"
"1998-01-24 17:50:00.0","15","3","0","0","59","5","8","0"
"1998-01-24 18:00:00.0","14","19","0","0","67","0","8","0"
"1998-01-24 18:10:00.0","14","20","0","0","69","0","8","0"
"1998-01-24 18:20:00.0","15","5","0","0","63","2","9","0"
"1998-01-24 18:30:00.0","14","14","0","0","75","1","8","0"
"1998-01-24 18:40:00.0","14","21","0","0","80","1","8","0"
"1998-01-24 18:50:00.0","14","10","0","14","101","17","8","0"
"1998-01-24 19:00:00.0","14","10","0","0","102","31","8","0"
"1998-01-24 19:10:00.0","14","21","0","0","108","27","9","0"
"1998-01-24 19:20:00.0","15","21","0","0","96","17","8","0"
"1998-01-24 19:30:00.0","14","4","0","0","81","16","8","0"
"1998-01-24 19:40:00.0","14","15","0","0","91","16","7","0"
"1998-01-24 19:50:00.0","14","21","0","0","110","19","9","0"
"1998-01-24 20:00:00.0","15","8","0","0","99","19","8","0"
"1998-01-24 20:10:00.0","14","12","0","0","101","19","9","0"
"1998-01-24 20:20:00.0","14","20","0","0","110","19","8","0"
